id	itemCategory	itemId	itemName	unitPrice	calories	customization	burrito	sides & drinks
1002	side	1002	Chips	1.45	540		y	y
1003	side	1003	Chips & Guacamole	3.65	770	None	y	y
1005	side	1005	Chips & Fresh Tomato Salsa	2.00	570	None	y	y
1006	side	1006	Chips & Tomatillo-Green Chili Salsa	2.00	560	None	y	y
1007	side	1007	Chips & Tomatillo-Red Chili Salsa	2.00	570	None	y	y
1008	side	1008	Chips & Roasted Chili-Corn Salsa	2.00	620	None	y	y
1015	side	1015	Large Chips & Large Guacamole	5.95	1270	None	y	y
1018	drink	1018	32 fl oz Soda/Iced Tea	2.05	0 - 250	None	y	y
1019	drink	1019	22 fl oz Soda/Iced Tea	2.35	0 - 300	None	y	y
1029	topping	1029	Queso Blanco	1.30	120	3	y	
1029-s	side	1029	Queso Blanco	1.30	120	None	y	y
1032	side	1032	Chips & Queso Blanco	3.65	780	None	y	y
1033	side	1033	Large Chips & Large Queso Blanco	5.85	1290	None	y	y
1402	side	1402	Kid's Fruit	0	35	None	y	
2051	drink	2051	Blackberry Izze	2.80	170	None	y	y
2052	drink	2052	Grapefruit Izze	2.80	160	None	y	y
2054	drink	2054	Clementine Izze	2.80	160	None	y	y
2101	drink	2101	Pressed Apple Juice	2.80	240	None	y	y
2102	drink	2102	Pineapple Orange Banana Juice	2.80	280	None	y	y
2103	drink	2103	Peach Orange Juice	2.80	220	None	y	y
2104	drink	2104	Pomegranate Cherry Juice	2.80	240	None	y	y
2201	drink	2201	Bottled Water	2.45	0	None	y	y
2805	drink	2805	San Pellegrino Sparkling	2.75	0	None	y	y
2810	drink	2810	Mexican Coca-Cola	3	150	None	y	y
5001	rice	5001	White Rice	0	210	"1,2,3,4"	y	
5002	rice	5002	Brown Rice	0	210	"1,2,3,4"	y	
5051	beans	5051	Black Beans	0	130	"1,2,3,4"	y	
5052	beans	5052	Pinto Beans	0	130	"1,2,3,4"	y	
5101	topping	5101	Fajita Veggies	0	20	"1,2,3"	y	
5201	topping	5201	Fresh Tomato Salsa	0	25	"1,2,3"	y	
5202	topping	5202	Roasted Chili-Corn Salsa	0	80	"1,2,3"	y	
5203	topping	5203	Tomatillo-Green Chili Salsa	0	15	"1,2,3"	y	
5204	topping	5204	Tomatillo-Red Chili Salsa	0	30	"1,2,3"	y	
5251	topping	5251	Sour Cream	0	110	"1,2,3"	y	
5252	topping	5252	Cheese	0	110	"1,2,3"	y	
5301	topping	5301	Guacamole	2.20	230	3	y	
5301-s	side	5301	Guacamole	2.20	230	None	y	y
5351	topping	5351	Romaine Lettuce	0	5	"1,2"	y	
5353	topping	5353	Chipotle-Honey Vinaigrette	0	220	None		
5401	tortilla	5401	Soft Flour Tortilla	0	80	None		
5501	tortilla	5501	Tortilla on the Side	0	320	None		
5501-b	tortilla	5501	Double Wrap with Tortilla	0	320	None	y	
5503	tortilla	5503	Crispy Corn Tortilla	0	70	None		
5552	drink	5552	Organic Apple Juice	0	100	None		
5553	drink	5553	Organic Chocolate Milk	0	130	None		
5554	drink	5554	Organic Milk	0	90	None		
6601	protein	6601	Chicken	7.25	180	4	y	
6601-t	protein	6601	Chicken	2.65	180	None		
6601-q	protein	6601	Chicken	3	25	None		
6601-k	protein	6601	Chicken	4.95	90	None		
6602	protein	6602	Steak	8.25	150	4	y	
6602-t	protein	6602	Steak	2.95	150	None		
6602-q	protein	6602	Steak	4.5	20	None		
6602-k	protein	6602	Steak	4.95	70	None		
6603	protein	6603	Carnitas	7.75	210	4	y	
6603-t	protein	6603	Carnitas	2.75	210	None		
6603-q	protein	6603	Carnitas	4.5	20	None		
6603-k	protein	6603	Carnitas	4.95	80	None		
6604	protein	6604	Barbacoa	8.25	170	4	y	
6604-t	protein	6604	Barbacoa	2.95	170	None		
6604-q	protein	6604	Barbacoa	4.5	20	None		
6604-k	protein	6604	Barbacoa	4.95	110	None		
6605	protein	6605	Sofritas	7.25	150	4	y	
6605-t	protein	6605	Sofritas	2.65	150	None		
6605-q	protein	6605	Sofritas	4.5	15	None		
6605-k	protein	6605	Sofritas	4.95	70	None		
6606	protein	6606	Chorizo	7.75	190	4	y	
6606-t	protein	6606	Chorizo	2.85	190	None		
6606-q	protein	6606	Chorizo	4.5	20	None		
6606-k	protein	6606	Chorizo	4.95	80	None		
6608	protein	6608	Carne Asada	8.25	160	4	y	
6608-t	protein	6608	Carne Asada	2.95	160	None		
6608-q	protein	6608	Carne Asada	4.5	20	None		
6608-k	protein	6608	Carne Asada	4.95	70	None		
extra-m	protein			3			y	